initialSampleSize	gxe	gxg	snpCount	imputed	pooled	accessionId	fullPvalueSet	userRequested	diseaseTrait.trait	replicationSampleSize	publicationInfo.pubmedId	publicationInfo.publicationDate	publicationInfo.publication	publicationInfo.title	qualifier	cohort	studyDesignComment	trait_id	trait_label	study_accession	title	first_author	pubmed_id	reported_trait	initial_sample	replication_sample	searchable_text	score_strong	score_support	score_pmid	score_europe	score_total	metadata_complete
"2,972 European ancestry cases, 446,161 European ancestry controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90476108"	"TRUE"	NA	"Chronic pancreatitis (PheCode 577.2)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"EFO_0000342"	"chronic pancreatitis"	"GCST90476108"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Chronic pancreatitis (PheCode 577.2)"	"2,972 European ancestry cases, 446,161 European ancestry controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Chronic pancreatitis (PheCode 577.2) | chronic pancreatitis | Verma A | 2,972 European ancestry cases, 446,161 European ancestry controls | "	0	0	0	1	1	TRUE
"3,143 African American or Afro-Caribbean cases, 117,167 African American or Afro-Caribbean controls, 7,613 European ancestry cases, 439,644 European ancestry controls, 1,099 Hispanic or Latin American cases, 58,206 Hispanic or Latin American controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90480357"	"TRUE"	NA	"Acute pancreatitis (PheCode 577.1)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"EFO_1000652"	"acute pancreatitis"	"GCST90480357"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Acute pancreatitis (PheCode 577.1)"	"3,143 African American or Afro-Caribbean cases, 117,167 African American or Afro-Caribbean controls, 7,613 European ancestry cases, 439,644 European ancestry controls, 1,099 Hispanic or Latin American cases, 58,206 Hispanic or Latin American controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Acute pancreatitis (PheCode 577.1) | acute pancreatitis | Verma A | 3,143 African American or Afro-Caribbean cases, 117,167 African American or Afro-Caribbean controls, 7,613 European ancestry cases, 439,644 European ancestry controls, 1,099 Hispanic or Latin American cases, 58,206 Hispanic or Latin American controls | "	0	0	0	1	1	TRUE
"1,475 African American or Afro-Caribbean cases, 119,625 African American or Afro-Caribbean controls, 2,972 European ancestry cases, 446,161 European ancestry controls, 367 Hispanic or Latin American cases, 59,289 Hispanic or Latin American controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90480358"	"TRUE"	NA	"Chronic pancreatitis (PheCode 577.2)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"EFO_0000342"	"chronic pancreatitis"	"GCST90480358"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Chronic pancreatitis (PheCode 577.2)"	"1,475 African American or Afro-Caribbean cases, 119,625 African American or Afro-Caribbean controls, 2,972 European ancestry cases, 446,161 European ancestry controls, 367 Hispanic or Latin American cases, 59,289 Hispanic or Latin American controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Chronic pancreatitis (PheCode 577.2) | chronic pancreatitis | Verma A | 1,475 African American or Afro-Caribbean cases, 119,625 African American or Afro-Caribbean controls, 2,972 European ancestry cases, 446,161 European ancestry controls, 367 Hispanic or Latin American cases, 59,289 Hispanic or Latin American controls | "	0	0	0	1	1	TRUE
"up to 14,112 European ancestry, Asian ancestry, African ancestry, Hispanic or Latin American cases, up to 1,032,106 European ancestry, Asian ancestry, African ancestry, Hispanic or Latin American controls"	"FALSE"	"FALSE"	NA	"TRUE"	"FALSE"	"GCST90623819"	"FALSE"	NA	"Acute pancreatitis"	"NA"	"38491158"	"2024-03-15"	"Sci Rep"	"Lipid levels and risk of acute pancreatitis using bidirectional Mendelian randomization."	NA	"UKB|MVP"	NA	"EFO_1000652"	"acute pancreatitis"	"GCST90623819"	"Lipid levels and risk of acute pancreatitis using bidirectional Mendelian randomization."	"Wang B"	"38491158"	"Acute pancreatitis"	"up to 14,112 European ancestry, Asian ancestry, African ancestry, Hispanic or Latin American cases, up to 1,032,106 European ancestry, Asian ancestry, African ancestry, Hispanic or Latin American controls"	NA	"Lipid levels and risk of acute pancreatitis using bidirectional Mendelian randomization. | Acute pancreatitis | acute pancreatitis | Wang B | up to 14,112 European ancestry, Asian ancestry, African ancestry, Hispanic or Latin American cases, up to 1,032,106 European ancestry, Asian ancestry, African ancestry, Hispanic or Latin American controls | "	0	0	0	1	1	TRUE
"71 cases with pancreatitis, 142 cases without pancreatitis"	"FALSE"	"FALSE"	"751455"	"FALSE"	"FALSE"	"GCST003500"	"FALSE"	"FALSE"	"Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia"	"NA"	"27114598"	"2016-04-25"	"J Clin Oncol"	"Clinical and Genetic Risk Factors for Acute Pancreatitis in Patients With Acute Lymphoblastic Leukemia."	"at least"	NA	NA	"EFO_1001507"	"Asparaginase-induced acute pancreatitis"	"GCST003500"	"Clinical and Genetic Risk Factors for Acute Pancreatitis in Patients With Acute Lymphoblastic Leukemia."	"Liu C"	"27114598"	"Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia"	"71 cases with pancreatitis, 142 cases without pancreatitis"	NA	"Clinical and Genetic Risk Factors for Acute Pancreatitis in Patients With Acute Lymphoblastic Leukemia. | Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia | Asparaginase-induced acute pancreatitis | Liu C | 71 cases with pancreatitis, 142 cases without pancreatitis | "	0	0	0	0	0	TRUE
"18 Japanese ancestry cases, 1,202 Japanese ancestry controls"	"FALSE"	"FALSE"	"5000000"	"TRUE"	"FALSE"	"GCST006208"	"FALSE"	"FALSE"	"Thiopurine-induced pancreatitis in inflammatory bowel disease"	"NA"	"29923122"	"2018-06-19"	"J Gastroenterol"	"NUDT15 codon 139 is the best pharmacogenetic marker for predicting thiopurine-induced severe adverse events in Japanese patients with inflammatory bowel disease: a multicenter study."	">"	NA	NA	"EFO_0000278"	"pancreatitis"	"GCST006208"	"NUDT15 codon 139 is the best pharmacogenetic marker for predicting thiopurine-induced severe adverse events in Japanese patients with inflammatory bowel disease: a multicenter study."	"Kakuta Y"	"29923122"	"Thiopurine-induced pancreatitis in inflammatory bowel disease"	"18 Japanese ancestry cases, 1,202 Japanese ancestry controls"	NA	"NUDT15 codon 139 is the best pharmacogenetic marker for predicting thiopurine-induced severe adverse events in Japanese patients with inflammatory bowel disease: a multicenter study. | Thiopurine-induced pancreatitis in inflammatory bowel disease | pancreatitis | Kakuta Y | 18 Japanese ancestry cases, 1,202 Japanese ancestry controls | "	0	0	0	0	0	TRUE
"827 East Asian ancestry cases, 177,471 East Asian ancestry controls"	"FALSE"	"FALSE"	"13429917"	"TRUE"	"FALSE"	"GCST90018569"	"TRUE"	"FALSE"	"Acute pancreatitis"	"NA"	"34594039"	"2021-09-30"	"Nat Genet"	"A cross-population atlas of genetic associations for 220 human phenotypes."	NA	"BBJ"	"Illumina HumanOmniExpressExome BeadChip or a combination of the Illumina HumanOmniExpress and HumanExome BeadChips"	"EFO_0000278"	"pancreatitis"	"GCST90018569"	"A cross-population atlas of genetic associations for 220 human phenotypes."	"Sakaue S"	"34594039"	"Acute pancreatitis"	"827 East Asian ancestry cases, 177,471 East Asian ancestry controls"	NA	"A cross-population atlas of genetic associations for 220 human phenotypes. | Acute pancreatitis | pancreatitis | Sakaue S | 827 East Asian ancestry cases, 177,471 East Asian ancestry controls | "	0	0	0	0	0	TRUE
"457 East Asian ancestry cases, 177,471 East Asian ancestry controls"	"FALSE"	"FALSE"	"13429808"	"TRUE"	"FALSE"	"GCST90018601"	"TRUE"	"FALSE"	"Chronic pancreatitis"	"NA"	"34594039"	"2021-09-30"	"Nat Genet"	"A cross-population atlas of genetic associations for 220 human phenotypes."	NA	"BBJ"	"Illumina HumanOmniExpressExome BeadChip or a combination of the Illumina HumanOmniExpress and HumanExome BeadChips"	"EFO_0000278"	"pancreatitis"	"GCST90018601"	"A cross-population atlas of genetic associations for 220 human phenotypes."	"Sakaue S"	"34594039"	"Chronic pancreatitis"	"457 East Asian ancestry cases, 177,471 East Asian ancestry controls"	NA	"A cross-population atlas of genetic associations for 220 human phenotypes. | Chronic pancreatitis | pancreatitis | Sakaue S | 457 East Asian ancestry cases, 177,471 East Asian ancestry controls | "	0	0	0	0	0	TRUE
"313 Chinese ancestry cases, 75,608 Chinese ancestry controls"	"FALSE"	"FALSE"	"8018243"	"TRUE"	"FALSE"	"GCST90246155"	"TRUE"	NA	"ICD10 K85: Acute pancreatitis"	"NA"	"37601966"	"2023-07-20"	"Cell Genom"	"Genotyping and population characteristics of the China Kadoorie Biobank. "	NA	"CKB"	"Axiom custom arrays"	"EFO_0000278"	"pancreatitis"	"GCST90246155"	"Genotyping and population characteristics of the China Kadoorie Biobank. "	"Walters RG"	"37601966"	"ICD10 K85: Acute pancreatitis"	"313 Chinese ancestry cases, 75,608 Chinese ancestry controls"	NA	"Genotyping and population characteristics of the China Kadoorie Biobank.  | ICD10 K85: Acute pancreatitis | pancreatitis | Walters RG | 313 Chinese ancestry cases, 75,608 Chinese ancestry controls | "	0	0	0	0	0	TRUE
"1,986 British ancestry cases, 406,271 British ancestry controls"	"FALSE"	"FALSE"	"28000000"	"TRUE"	"FALSE"	"GCST90436395"	"TRUE"	NA	"Acute pancreatitis (PheCode 577.1)"	"NA"	"30104761"	"2018-08-13"	"Nat Genet"	"Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies."	NA	"UKB"	NA	"EFO_1000652"	"acute pancreatitis"	"GCST90436395"	"Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies."	"Zhou W"	"30104761"	"Acute pancreatitis (PheCode 577.1)"	"1,986 British ancestry cases, 406,271 British ancestry controls"	NA	"Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies. | Acute pancreatitis (PheCode 577.1) | acute pancreatitis | Zhou W | 1,986 British ancestry cases, 406,271 British ancestry controls | "	0	0	0	0	0	TRUE
"514 British ancestry cases, 406,271 British ancestry controls"	"FALSE"	"FALSE"	"28000000"	"TRUE"	"FALSE"	"GCST90436396"	"TRUE"	NA	"Chronic pancreatitis (PheCode 577.2)"	"NA"	"30104761"	"2018-08-13"	"Nat Genet"	"Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies."	NA	"UKB"	NA	"EFO_0000342"	"chronic pancreatitis"	"GCST90436396"	"Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies."	"Zhou W"	"30104761"	"Chronic pancreatitis (PheCode 577.2)"	"514 British ancestry cases, 406,271 British ancestry controls"	NA	"Efficiently controlling for case-control imbalance and sample relatedness in large-scale genetic association studies. | Chronic pancreatitis (PheCode 577.2) | chronic pancreatitis | Zhou W | 514 British ancestry cases, 406,271 British ancestry controls | "	0	0	0	0	0	TRUE
"1,475 African American or Afro-Caribbean cases, 119,625 African American or Afro-Caribbean controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90476107"	"TRUE"	NA	"Chronic pancreatitis (PheCode 577.2)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"EFO_0000342"	"chronic pancreatitis"	"GCST90476107"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Chronic pancreatitis (PheCode 577.2)"	"1,475 African American or Afro-Caribbean cases, 119,625 African American or Afro-Caribbean controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Chronic pancreatitis (PheCode 577.2) | chronic pancreatitis | Verma A | 1,475 African American or Afro-Caribbean cases, 119,625 African American or Afro-Caribbean controls | "	0	0	0	0	0	TRUE
"1,099 Hispanic or Latin American cases, 58,206 Hispanic or Latin American controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90478484"	"TRUE"	NA	"Acute pancreatitis (PheCode 577.1)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"EFO_1000652"	"acute pancreatitis"	"GCST90478484"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Acute pancreatitis (PheCode 577.1)"	"1,099 Hispanic or Latin American cases, 58,206 Hispanic or Latin American controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Acute pancreatitis (PheCode 577.1) | acute pancreatitis | Verma A | 1,099 Hispanic or Latin American cases, 58,206 Hispanic or Latin American controls | "	0	0	0	0	0	TRUE
"3,143 African American or Afro-Caribbean cases, 117,167 African American or Afro-Caribbean controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90478485"	"TRUE"	NA	"Acute pancreatitis (PheCode 577.1)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"EFO_1000652"	"acute pancreatitis"	"GCST90478485"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Acute pancreatitis (PheCode 577.1)"	"3,143 African American or Afro-Caribbean cases, 117,167 African American or Afro-Caribbean controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Acute pancreatitis (PheCode 577.1) | acute pancreatitis | Verma A | 3,143 African American or Afro-Caribbean cases, 117,167 African American or Afro-Caribbean controls | "	0	0	0	0	0	TRUE
"367 Hispanic or Latin American cases, 59,289 Hispanic or Latin American controls"	"FALSE"	"FALSE"	"44300000"	"TRUE"	"FALSE"	"GCST90482192"	"FALSE"	NA	"Chronic pancreatitis (PheCode 577.2)"	"NA"	"39024449"	"2024-07-19"	"Science"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	NA	"MVP"	NA	"EFO_0000342"	"chronic pancreatitis"	"GCST90482192"	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program."	"Verma A"	"39024449"	"Chronic pancreatitis (PheCode 577.2)"	"367 Hispanic or Latin American cases, 59,289 Hispanic or Latin American controls"	NA	"Diversity and scale: Genetic architecture of 2068 traits in the VA Million Veteran Program. | Chronic pancreatitis (PheCode 577.2) | chronic pancreatitis | Verma A | 367 Hispanic or Latin American cases, 59,289 Hispanic or Latin American controls | "	0	0	0	0	0	TRUE
"557 Han Taiwanese ancestry cases, 234,326 Han Taiwanese ancestry controls"	"FALSE"	"FALSE"	"14181206"	"TRUE"	"FALSE"	"GCST90651233"	"FALSE"	NA	"Chronic pancreatitis (PheCode 577.2)"	"NA"	"40465716"	"2025-06-04"	"Sci Adv"	"Diversity and longitudinal records: Genetic architecture of disease associations and polygenic risk in the Taiwanese Han population."	NA	"CMUH"	NA	"EFO_0000342"	"chronic pancreatitis"	"GCST90651233"	"Diversity and longitudinal records: Genetic architecture of disease associations and polygenic risk in the Taiwanese Han population."	"Liu TY"	"40465716"	"Chronic pancreatitis (PheCode 577.2)"	"557 Han Taiwanese ancestry cases, 234,326 Han Taiwanese ancestry controls"	NA	"Diversity and longitudinal records: Genetic architecture of disease associations and polygenic risk in the Taiwanese Han population. | Chronic pancreatitis (PheCode 577.2) | chronic pancreatitis | Liu TY | 557 Han Taiwanese ancestry cases, 234,326 Han Taiwanese ancestry controls | "	0	0	0	0	0	TRUE
"1,678 Han Taiwanese ancestry cases, 234,326 Han Taiwanese ancestry controls"	"FALSE"	"FALSE"	"14181206"	"TRUE"	"FALSE"	"GCST90651302"	"FALSE"	NA	"Acute pancreatitis (PheCode 577.1)"	"NA"	"40465716"	"2025-06-04"	"Sci Adv"	"Diversity and longitudinal records: Genetic architecture of disease associations and polygenic risk in the Taiwanese Han population."	NA	"CMUH"	NA	"EFO_1000652"	"acute pancreatitis"	"GCST90651302"	"Diversity and longitudinal records: Genetic architecture of disease associations and polygenic risk in the Taiwanese Han population."	"Liu TY"	"40465716"	"Acute pancreatitis (PheCode 577.1)"	"1,678 Han Taiwanese ancestry cases, 234,326 Han Taiwanese ancestry controls"	NA	"Diversity and longitudinal records: Genetic architecture of disease associations and polygenic risk in the Taiwanese Han population. | Acute pancreatitis (PheCode 577.1) | acute pancreatitis | Liu TY | 1,678 Han Taiwanese ancestry cases, 234,326 Han Taiwanese ancestry controls | "	0	0	0	0	0	TRUE
"457 Hondo Japanese ancestry cases, 2,659 Hondo Japanese ancestry controls"	"FALSE"	"FALSE"	"4847583"	"FALSE"	"FALSE"	"GCST90728623"	"FALSE"	NA	"IgG4-related autoimmune pancreatitis"	"NA"	"41197642"	"2025-11-03"	"Lancet Rheumatol"	"IgG4-related disease in the Japanese population: a whole-genome sequencing study."	NA	"other|NR"	NA	"EFO_1000780"	"autoimmune pancreatitis type 1"	"GCST90728623"	"IgG4-related disease in the Japanese population: a whole-genome sequencing study."	"Zhang YO"	"41197642"	"IgG4-related autoimmune pancreatitis"	"457 Hondo Japanese ancestry cases, 2,659 Hondo Japanese ancestry controls"	NA	"IgG4-related disease in the Japanese population: a whole-genome sequencing study. | IgG4-related autoimmune pancreatitis | autoimmune pancreatitis type 1 | Zhang YO | 457 Hondo Japanese ancestry cases, 2,659 Hondo Japanese ancestry controls | "	0	0	0	0	0	TRUE
